character,series,production,genre,gender,age,nationality,species,words,very E,really E,so E,totally E,PM like E,PM I mean E,PM you know E,H sort of E,H sort of E,all sort of,all kind of,or something E,or anything E,and stuff E,all E,probably E,perhaps E,possibly E,maybe E
Paris,Gilmore Girls,US,dramedy,female,2,American,human,40036,8.991907283,5.245279249,6.49415526,0.999100809,0.499550405,12.98831052,7.992806474,1.748426416,2.497752023,9,18,0.499550405,0.249775202,0,0.749325607,2.497752023,0,0.999100809,8.242581676
Rhys,Torchwood,UK,science fantasy,male,3,Welsh,human,5027,1.989258007,0,7.957032027,0,3.978516014,9.946290034,21.88183807,1.989258007,1.989258007,4,2,1.989258007,0,1.989258007,3.978516014,1.989258007,0,0,7.957032027
Richard,Gilmore Girls,US,dramedy,male,4,American,human,35703,35.85132902,0.840265524,4.481416127,0.280088508,0,1.120354032,5.601770159,2.520796572,0.560177016,16,6,0.280088508,0,0,0.280088508,2.80088508,5.321681651,0.840265524,4.761504635
Rory,Gilmore Girls,US,dramedy,female,2,American,human,183463,14.60785008,12.75461537,14.28080866,1.253658776,1.308165679,16.62460551,9.865749497,0.981124259,7.576459559,22,184,1.362672582,0.436055226,0.218027613,2.016755422,5.77773175,0.381548323,0.272534516,14.98939841
Sarah,Parenthood,US,dramedy,female,3,American,human,44579,15.7024608,19.9645573,30.28331726,0.672962606,14.35653559,29.61035465,74.02588663,2.243208686,5.832342583,10,40,0.672962606,0.448641737,1.345925211,2.467529554,3.14049216,0.448641737,0.224320869,11.66468517
Sherlock,Sherlock,UK,crime,male,3,English,human,33742,12.44739494,1.778199277,5.334597831,0.296366546,0,0.592733092,4.445498192,1.185466185,1.481832731,7,11,0.296366546,0,0,0.296366546,7.112797107,2.370932369,1.481832731,5.927330923
Sookie,Gilmore Girls,US,dramedy,female,3,American,human,41820,12.19512195,8.847441416,17.69488283,0.717360115,0.717360115,19.3687231,14.82544237,2.152080344,7.651841224,9,47,0.717360115,0.478240077,0.478240077,1.673840268,2.869440459,0.239120038,0.239120038,11.95600191
SpikeA,Angel,US,science fantasy,male,3,English,vampire,13660,4.39238653,1.464128843,2.196193265,0,1.464128843,5.124450952,2.928257687,2.928257687,1.464128843,7,4,1.464128843,0,0,1.464128843,4.39238653,0,0.732064422,10.2489019
SpikeB,Buffy the Vampire Slayer,US,science fantasy,male,3,English,vampire,32228,7.757229738,0.620578379,4.964627032,0.31028919,0,6.20578379,16.75561623,0.930867569,2.172024327,7,19,0,0,0.31028919,0.31028919,3.413181085,0.930867569,0,10.86012163
Toshiko,Torchwood,UK,science fantasy,female,3,English,human,9401,5.318583129,1.063716626,7.446016381,1.063716626,1.063716626,3.191149878,1.063716626,2.127433252,3.191149878,2,3,0,0,0,0,3.191149878,0,0,8.509733007
Willow,Buffy the Vampire Slayer,US,science fantasy,female,2,American,human,60492,5.620577928,9.092111354,13.39020036,1.157177809,4.79402235,30.41724526,18.68015605,5.620577928,13.72082259,39,106,1.818422271,0.495933347,2.479666733,4.79402235,6.447133505,0.165311116,0.165311116,27.93757852
Xander,Buffy the Vampire Slayer,US,science fantasy,male,2,American,human,58509,8.032952195,3.41827753,7.691124442,0.683655506,3.760105283,18.97144029,14.35676563,2.9055359,12.30579911,19,102,1.196397135,0.170913876,0.341827753,1.709138765,6.665641183,0.341827753,1.025483259,17.4332154
Zeek,Parenthood,US,dramedy,male,4,American,human,19603,12.75315003,2.040504004,6.631638015,0,5.101260011,58.66449013,57.13411213,0,9.692394021,1,24,0.510126001,0.510126001,0,1.020252002,1.530378003,0,0,9.18226802
